DPID2,CHAMBER_NAME
143016,RE-1_R2_CH12
143016,RE-2_R2_CH12
143017,RE-1_R2_CH14
143017,RE-1_R2_CH22
143018,RE-1_R3_CH24
143018,RE-2_R3_CH12
143019,RE-1_R3_CH21
143019,RE-2_R3_CH19
143021,RE-1_R2_CH19
143021,RE-1_R2_CH20
143022,RE-1_R2_CH25
143022,RE-2_R2_CH13
143023,RE-1_R3_CH25
143023,RE-1_R3_CH26
143024,RE-1_R3_CH16
143025,RE-1_R3_CH18
143025,RE-2_R3_CH16
143026,RE-1_R3_CH15
143026,RE-1_R3_CH27
143028,RE-1_R3_CH14
143028,RE-2_R3_CH14
143029,RE-2_R3_CH15
143029,RE-2_R3_CH18
143030,RE-2_R2_CH17
143030,RE-2_R3_CH11
143031,RE-2_R2_CH16
143031,RE-2_R3_CH17
143032,RE-2_R2_CH19
143032,RE-1_R2_CH16
143033,RE-2_R2_CH18
143033,RE-2_R2_CH14
143035,RE-1_R3_CH12
143035,RE-1_R2_CH28
143036,RE-1_R3_CH11
143037,RE-1_R3_CH17
143037,RE-1_R3_CH22
143038,RE-1_R3_CH19
143038,RE-2_R2_CH15
143039,RE-1_R2_CH26
143039,RE-2_R3_CH13
143040,RE-1_R3_CH13
143040,RE-1_R2_CH21
143042,RE-1_R2_CH23
143042,RE-1_R2_CH27
143043,RE-1_R3_CH20
143043,RE-1_R2_CH24
143044,RE-1_R3_CH23
143044,RE-1_R3_CH28
143045,RE-3_R2_CH17
143046,RE-3_R3_CH17
143046,RE-3_R3_CH28
143047,RE-2_R3_CH27
143047,RE-2_R3_CH21
143049,RE-2_R3_CH25
143049,RE-2_R3_CH26
143050,RE-3_R2_CH12
143050,RE-2_R3_CH22
143051,RE-3_R3_CH14
143051,RE-2_R3_CH24
143052,RE-2_R2_CH22
143052,RE-2_R2_CH21
143053,RE-2_R2_CH26
143053,RE-2_R2_CH27
143054,RE-2_R2_CH24
143054,RE-2_R2_CH23
143056,RE-2_R3_CH23
143056,RE-3_R2_CH13
143057,RE-2_R2_CH25
143057,RE-3_R2_CH11
143058,RE-3_R2_CH18
143058,RE-3_R2_CH16
143059,RE-2_R2_CH28
143059,RE-3_R2_CH15
143060,RE-3_R3_CH16
143060,RE-3_R3_CH18
143061,RE-3_R2_CH21
143061,RE-3_R2_CH14
143063,RE-3_R3_CH11
143063,RE-3_R3_CH19
143064,RE-3_R2_CH25
143064,RE-3_R3_CH15
143065,RE-3_R2_CH27
143065,RE-2_R3_CH28
143066,RE-2_R2_CH20
143066,RE-3_R2_CH20
143067,RE-3_R2_CH26
143067,RE-3_R3_CH12
143068,RE-3_R3_CH26
143068,RE-2_R3_CH20
143070,RE-3_R3_CH25
143070,RE-3_R2_CH23
143071,RE-3_R2_CH19
143071,RE-3_R3_CH24
143072,RE-3_R3_CH21
143072,RE-3_R3_CH13
143073,RE-3_R2_CH28
143073,RE-3_R2_CH22
143074,RE-3_R3_CH20
143074,RE-3_R3_CH23
143075,RE-3_R3_CH27
143075,RE-3_R2_CH24
203812,RE+4_R2_CH01
203812,RE+4_R3_CH01
203813,RE+4_R2_CH02
203813,RE+4_R3_CH02
203814,RE+4_R2_CH03
203814,RE+4_R3_CH03
203815,RE+4_R2_CH04
203815,RE+4_R3_CH04
203816,RE+4_R2_CH05
203816,RE+4_R3_CH05
203817,RE+4_R2_CH06
203817,RE+4_R3_CH06
203818,RE+4_R2_CH07
203818,RE+4_R3_CH07
203819,RE+4_R2_CH08
203819,RE+4_R3_CH08
203820,RE+4_R2_CH09
203820,RE+4_R3_CH09
203821,RE+4_R2_CH10
203821,RE+4_R3_CH10
203822,RE+4_R3_CH29
203822,RE+4_R2_CH29
203823,RE+4_R3_CH30
203823,RE+4_R2_CH30
203824,RE+4_R3_CH31
203824,RE+4_R2_CH31
203825,RE+4_R3_CH32
203825,RE+4_R2_CH32
203826,RE+4_R3_CH33
203826,RE+4_R2_CH33
203827,RE+4_R3_CH34
203827,RE+4_R2_CH34
203828,RE+4_R3_CH35
203828,RE+4_R2_CH35
203829,RE+4_R3_CH36
203829,RE+4_R2_CH36
203830,RE+4_R3_CH11
203830,RE+4_R2_CH11
203831,RE+4_R3_CH12
203831,RE+4_R2_CH12
203832,RE+4_R3_CH13
203832,RE+4_R2_CH13
203833,RE+4_R3_CH14
203833,RE+4_R2_CH14
203834,RE+4_R3_CH15
203834,RE+4_R2_CH15
203835,RE+4_R3_CH16
